,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score
estimator,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time
dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSF1,23.6388622379303,7.0477055740356445,59.854963874,11.682177467346191,168.2781304,1.0446400356292724,10.548175029754638,1.5918981075286864,16.97736306,6.618164567947387,1.8803415679931639,99.450793976,3.151504678726196,5.323464441,0.20175659179687497,2.7740184974670408,0.5263794994354247,4.840693474,0.9029999999999999,0.9040000000000001,0.8390000000000001,0.875,0.755,0.875,0.8029999999999999,0.899,0.74
Adiac,6.312097444534301,4.30803415298462,88.43569152799999,4.4159589290618895,193.765359,1.8234787273406983,2.1343834018707275,1.2765249347686767,3.028186417,1.5462905883789062,1.0396540927886964,467.01096343999995,1.170798578262329,1.165610218,0.2294161510467529,0.6043292808532714,0.36539155960083003,0.713553286,0.8686052588600359,0.8117687408133267,0.8421786706000001,0.8596390658174098,0.758010779,0.8640307039033154,0.7167532255430344,0.8194496162012085,0.523746529
ArrowHead,2.370016002655029,1.730951738357544,19.037622172,1.7363938426971437,12.821627,0.6118727016448975,0.9902277088165283,0.48779902458190916,1.093404388,0.7285074043273926,0.5265918445587159,60.60206722,0.5960355091094971,0.232064819,0.12474020957946774,0.3636574172973633,0.22031789779663083,0.342627811,0.9592026578073091,0.9640531561461796,0.9012624582000001,0.9364784053156148,0.952713178,0.9752380952380955,0.8710520487264674,0.9516500553709859,0.810741971
BME,1.0670906639099123,0.8390809345245362,10.451885319999999,0.8030759525299072,5.180151606,0.506365966796875,0.5128429698944091,0.34410480499267576,0.657838535,0.387168550491333,0.29418353080749504,22.08612063,0.35438052177429197,0.084043264,0.09186554908752435,0.22249547004699705,0.1741121673583984,0.210444403,1.0,1.0,1.0,1.0,0.972222222,1.0,0.7022222222222222,1.0,1.0
Beef,1.5427929687500002,0.8794048118591309,9.2728339862,1.1306947898864745,12.95598569,0.31405576705932614,0.6106388092041015,0.28390301704406734,0.538328171,0.5281368923187256,0.3164362525939941,41.839173419999995,0.44137031555175776,0.195528316,0.07631484031677244,0.27971366882324217,0.17717372894287103,0.155860853,0.8833333333333334,0.8766666666666666,0.8966666666,0.8866666666666667,0.7,0.8266666666666668,0.8666666666666668,0.8766666666666666,0.5
BeetleFly,1.1575210380554197,0.654430046081543,5.235623846,0.8773235416412353,1.811411667,0.27654454231262204,0.5667810821533203,0.23584466934204099,0.450523138,0.42528806686401366,0.2692765522003174,19.8405239,0.37153848648071286,0.084343338,0.07293921470642084,0.24857859611511227,0.13692296028137202,0.130579233,0.93,0.925,0.9099999999999999,0.975,0.85,0.9,0.9549999999999998,0.93,0.75
BirdChicken,1.1700422668457031,0.6755588436126709,4.8758134174,0.885954465866089,1.638419247,0.2784673976898193,0.5328389930725097,0.22983602523803706,0.384093952,0.41087121009826655,0.27306438446044917,16.835142676,0.376949872970581,0.07293787,0.07299783706665033,0.29338162422180175,0.1525557899475097,0.11076088,0.95,0.96,0.95,0.9650000000000001,0.975,0.975,0.925,0.9200000000000002,0.95
CBF,22.070244884490968,3.8196257972717285,51.433317832,3.503459281921386,22.77836862,2.0674500846862793,2.2206305980682375,1.3712704944610596,6.5587708,2.550662031173706,0.8926022338867188,53.21675299799999,0.9217824840545654,0.418166399,0.229232702255249,0.7561730480194092,0.3834050750732422,1.790390301,1.0,1.0,1.0,1.0,1.0,1.0,0.9765591397849465,1.0,1.0
